relative_second,wall_clock_unix_second,combined_conn_per_sec,combined_in_flight,combined_ops,combined_failed_ops
851,1784172012,292,6052,677,0
852,1784172013,207,6257,610,4
853,1784172014,404,6614,1695,5
854,1784172015,313,6427,889,36
855,1784172016,20,6190,301,5
856,1784172017,397,6523,322,4
857,1784172018,251,6730,362,3
858,1784172019,279,6914,1566,48
859,1784172020,93,6957,706,67
860,1784172021,54,4057,2858,30
861,1784172022,690,6382,1626,73
862,1784172023,480,6618,410,70
863,1784172024,307,6518,1325,1
864,1784172025,434,6853,1181,18
865,1784172026,411,6821,1014,10
866,1784172027,256,6786,253,61
867,1784172028,235,6910,1727,57
868,1784172029,418,7223,1114,5
869,1784172030,343,7066,689,28
870,1784172031,226,7273,2410,33
871,1784172032,482,6507,1958,27
872,1784172033,690,6943,160,24
873,1784172034,535,7340,342,12
874,1784172035,671,7991,102,2
875,1784172036,53,8008,3226,0
876,1784172037,748,7576,414,44
877,1784172038,299,7803,1227,53
878,1784172039,522,7870,306,61
879,1784172040,180,8038,1055,20
880,1784172041,205,7805,1555,63
881,1784172042,276,7616,390,58
882,1784172043,484,7927,823,25
883,1784172044,20,7836,405,165
884,1784172045,160,3250,413,58
885,1784172046,71,3267,274,12
886,1784172047,147,3347,396,3
887,1784172048,188,3527,214,37
888,1784172049,405,8109,5,18
889,1784172050,210,8298,691,1
890,1784172051,257,4532,729,6
891,1784172052,341,8427,242,46
892,1784172053,97,8473,737,91
893,1784172054,18,8464,1041,19
894,1784172055,117,8370,1067,0
895,1784172056,186,7806,443,0
896,1784172057,177,7783,359,10
897,1784172058,49,7775,1336,0
898,1784172059,271,8011,1248,0
899,1784172060,348,8349,1018,3
900,1784172061,134,8480,1870,6
901,1784172062,101,8527,606,74
902,1784172063,387,8883,0,3
903,1784172064,531,9403,0,12
904,1784172065,55,5224,0,37
905,1784172066,1,5224,0,4
906,1784172067,2,5219,2,21
907,1784172068,146,5320,207,16
908,1784172069,6,5319,0,93
909,1784172070,24,5252,3,395
910,1784172071,228,4912,3,170
911,1784172072,372,5284,0,1
912,1784172073,415,5666,0,33
913,1784172074,326,5982,0,10
914,1784172075,189,6170,0,2
915,1784172076,414,6575,0,11
916,1784172077,211,6781,0,96
917,1784172078,0,0,3,535
918,1784172079,0,0,30,276
919,1784172080,268,6115,3,39
920,1784172081,111,6205,0,152
921,1784172082,0,0,77,133
922,1784172083,374,6309,23,2
923,1784172084,155,6463,0,1
924,1784172085,190,6653,5,23
925,1784172086,57,6613,1051,31
926,1784172087,234,6545,6,5
927,1784172088,0,0,1136,7
928,1784172089,308,6444,80,2
929,1784172090,110,6554,3,22
930,1784172091,376,6903,18,3
931,1784172092,24,6927,355,28
932,1784172093,0,0,564,2
933,1784172094,0,0,1277,11
934,1784172095,0,0,124,44
935,1784172096,0,0,320,107
936,1784172097,0,0,331,33
937,1784172098,0,0,1729,2
938,1784172099,0,0,652,1
939,1784172100,0,0,786,1
940,1784172101,0,0,568,1
941,1784172102,0,0,36,1
942,1784172103,0,0,997,3
943,1784172104,0,0,550,1
944,1784172105,0,0,359,0
945,1784172106,0,0,828,2
946,1784172107,0,0,749,0
947,1784172108,0,0,1088,1
948,1784172109,0,0,2808,1
949,1784172110,0,0,1837,3
950,1784172111,0,0,3845,4
951,1784172112,0,0,4096,3
952,1784172113,0,0,309,1
953,1784172114,0,0,744,1
954,1784172115,0,0,0,1
955,1784172116,0,0,0,4
956,1784172117,0,0,0,1
957,1784172118,0,0,0,2
958,1784172119,0,0,0,1
959,1784172120,0,0,0,2
960,1784172121,19,4168,157,3
961,1784172122,65,4225,114,8
962,1784172123,310,4532,0,4
963,1784172124,215,4742,22,4
964,1784172125,180,4917,42,8
965,1784172126,0,0,12,20
966,1784172127,0,0,0,135
967,1784172128,0,0,0,179
968,1784172129,0,0,0,215
969,1784172130,0,0,0,260
970,1784172131,0,0,34,243
971,1784172132,0,0,48,217
972,1784172133,0,0,251,15
973,1784172134,0,0,155,0
974,1784172135,0,0,568,0
975,1784172136,0,0,695,0
976,1784172137,0,0,1274,7
977,1784172138,0,0,909,0
978,1784172139,0,0,885,2
979,1784172140,0,0,1324,0
980,1784172141,0,0,1103,0
981,1784172142,0,0,2325,0
982,1784172143,0,0,990,0
983,1784172144,0,0,1368,0
984,1784172145,0,0,942,0
985,1784172146,0,0,15,0
